31	0D18**					0	0	0	0	1	0	0	0	0					0	1
31	0D18JL					0	1	1	1	1	1	1	0	0					0	6
31	0D58**					0	0	0	0	1	0	1	0	0					0	2
31	0D58RC					0	0	1	1	1	1	0	0	0					0	4
31	0D70**					0	0	0	0	0	0	1	0	0					0	1
31	0D70EB					0	0	1	1	1	1	0	0	0					0	4
31	0D70N8					0	0	0	0	0	1	0	0	0					0	1
31	Totales 0D	0	0	0	0	0	1	3	3	5	4	3	0	0	0	0	0	0	0	19
31	0X16XM					0	0	0	0	3	0	0	0	0					0	3
31	0X98XM					0	0	0	0	1	0	0	0	0					0	1
31	Totales 0X	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4
31	1C18GN					0	0	1	4	0	0	0	0	0					0	5
31	Totales 1C	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	5
31	3B01TT					0	0	0	0	1	1	5	0	0					0	7
31	3B01XN					0	0	0	0	1	0	1	0	0					0	2
31	3B02NM					0	0	0	0	0	1	0	0	0					0	1
31	3B02TN					0	1	0	0	0	0	0	0	0					0	1
31	3B15TN					0	0	0	1	0	1	0	0	0					0	2
31	3B15XN					0	0	1	1	1	1	0	0	0					0	4
31	3B22**					0	0	1	1	0	0	0	0	0					0	2
31	3B22XN					0	0	1	0	1	1	0	0	0					0	3
31	3B26**					0	1	0	0	0	0	0	0	0					0	1
31	3B26TN					0	0	1	1	2	1	1	0	0					0	6
31	3B28TJ					0	0	0	1	0	0	0	0	0					0	1
31	3B46AL					0	0	0	0	0	0	1	0	0					0	1
31	3B46TN					0	0	0	0	0	0	1	0	0					0	1
31	3B95XN					0	0	1	0	0	1	0	0	0					0	2
31	Totales 3B	0	0	0	0	0	2	5	5	6	7	9	0	0	0	0	0	0	0	34
31	4H62**					0	0	0	1	0	0	0	0	0					0	1
31	4H66XJ					0	0	1	1	1	1	0	0	0					0	4
31	4H72XM					0	0	1	0	1	1	0	0	0					0	3
31	4H72XN					0	0	1	2	1	1	0	0	0					0	5
31	4H96XN					0	0	1	1	1	1	0	0	0					0	4
31	4H97IA					0	0	1	1	1	1	0	0	0					0	4
31	4H98XN					0	0	0	0	1	2	0	0	0					0	3
31	Totales 4H	0	0	0	0	0	0	5	6	6	7	0	0	0	0	0	0	0	0	24
31	5L33TJ					0	0	0	0	0	2	1	0	0					0	3
31	5L33TN					0	0	0	0	0	0	2	0	0					0	2
31	5L33TT					0	0	0	0	1	0	4	0	0					0	5
31	5L44TA					0	0	0	0	0	0	1	0	0					0	1
31	5L44TL					0	0	0	0	0	1	1	0	0					0	2
31	Totales 5L	0	0	0	0	0	0	0	0	1	3	9	0	0	0	0	0	0	0	13
31	6F03TM					0	0	1	1	1	1	0	0	0					0	4
31	6F05TL					0	0	1	0	0	0	0	0	0					0	1
31	6F24**					0	0	0	0	1	1	1	0	0					0	3
31	6F24TJ					0	0	1	1	1	1	0	0	0					0	4
31	6F24TN					0	0	1	1	1	1	0	0	0					0	4
31	6F34TJ					0	0	0	0	1	1	0	0	0					0	2
31	6F34TN					0	0	1	1	1	1	0	0	0					0	4
31	6F36TL					0	0	1	0	0	0	1	0	0					0	2
31	6F39TJ					0	1	1	1	1	1	0	0	0					0	5
31	6F39TL					0	0	0	0	1	0	0	0	0					0	1
31	6F39TN					0	1	1	1	1	1	1	0	0					0	6
31	6F50TJ					0	0	0	1	1	0	0	0	0					0	2
31	6F50TN					0	0	0	1	1	1	0	0	0					0	3
31	6F67TL					0	0	1	1	1	1	0	0	0					0	4
31	6F67TN					0	0	1	0	1	0	0	0	0					0	2
31	Totales 6F	0	0	0	0	0	2	10	9	13	10	3	0	0	0	0	0	0	0	47
31	7M41XN					0	0	0	0	0	0	1	0	0					0	1
31	7M45**					0	0	0	0	0	0	0	1	0					0	1
31	7M45XN					0	0	0	1	0	1	1	0	0					0	3
31	7M53XN					0	0	0	0	2	0	1	0	0					0	3
31	7M57XN					0	0	0	0	0	0	1	0	0					0	1
31	Totales 7M	0	0	0	0	0	0	0	1	2	1	4	1	0	0	0	0	0	0	9
31	8D04TJ					0	0	0	0	0	0	1	0	0					0	1
31	8D04TN					0	0	0	0	1	1	1	0	0					0	3
31	8D06**					0	0	0	1	0	0	0	0	0					0	1
31	8D25M8					0	0	1	0	0	0	0	0	0					0	1
31	8D54C8					0	1	0	0	0	1	0	0	0					0	2
31	Totales 8D	0	0	0	0	0	1	1	1	1	2	2	0	0	0	0	0	0	0	8
31	9G73TL					0	0	0	0	0	0	0	1	0					0	1
31	Totales 9G	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
31	9H16XM					0	0	0	4	2	1	1	0	0					0	8
31	9H16XN					0	0	0	0	0	3	2	1	0					0	6
31	9H47XM					0	0	0	0	0	0	1	0	0					0	1
31	9H47XN					0	0	0	0	0	0	1	0	0					0	1
31	9H65XC					0	0	0	0	0	0	1	1	0					0	2
31	9H79XM					0	0	2	3	3	1	1	1	0					0	11
31	9H79XN					0	0	0	0	0	1	0	0	0					0	1
31	9H83XJ					0	0	0	0	2	1	1	0	0					0	4
31	9H89XJ					0	0	0	0	1	0	0	0	0					0	1
31	9H89XN					0	0	0	0	1	0	0	0	0					0	1
31	9H98XJ					0	0	1	0	2	1	1	0	0					0	5
31	9H98XN					0	0	0	1	0	1	1	0	0					0	3
31	Totales 9H	0	0	0	0	0	0	3	8	11	9	10	3	0	0	0	0	0	0	44
31	BH40XC					0	0	1	1	1	1	0	0	0					0	4
31	BH74**					0	0	0	0	3	0	0	0	0					0	3
31	BH74IA					0	0	0	1	1	1	0	0	0					0	3
31	BH74XN					0	0	1	1	0	1	0	0	0					0	3
31	Totales BH	0	0	0	0	0	0	2	3	5	3	0	0	0	0	0	0	0	0	13
31	BJ30XL					0	0	0	0	2	2	0	0	0					0	4
31	BJ51XM					0	0	0	0	1	0	0	0	0					0	1
31	BJ51XN					0	0	0	0	1	1	1	0	0					0	3
31	BJ59XN					0	0	0	0	1	2	1	0	0					0	4
31	BJ75AL					0	0	0	0	0	0	1	1	0					0	2
31	BJ82XN					0	0	0	0	2	1	0	0	0					0	3
31	BJ88XM					0	0	0	0	1	3	0	1	0					0	5
31	Totales BJ	0	0	0	0	0	0	0	0	8	9	3	2	0	0	0	0	0	0	22
31	M411**					0	0	0	0	0	0	0	1	0					0	1
